From	To
Q9H4A4	6051
P55786	9520
P15144	290
P22001	3738
O15554	3783
Q9HAW7	54577
P48443	6258
P35398	6095
P29762	1381
P28702	6257
P13631	5916
P10826	5915
P10276	5914
Q9Y4D2	747
Q99685	11343
P47712	5321
P46098	3359
P43681	1137
P35368	147
P35348	148
P34972	1269
P34969	3363
P28566	3354
P28222	3351
P28221	3352
P21918	1816
P08908	3350
O75762	8989
P47869	2555
Q16445	2559
P18505	2560
P18507	2566
P47870	2561
O00591	2568
P34903	2556
Q8N1C3	2565
P78334	2564
Q99928	2567
P31644	2558
O14764	2563
P48169	2557
P14867	2554
P28472	2562
Q9UN88	55879
Q9UNK4	26279
Q9NZK7	30814
Q9NZ20	50487
Q9BZM2	64600
Q9BZM1	81579
P14555	5320
O15496	8399
O14980	7514
Q99835	6608
Q15465	6469
Q9NXA8	23408
Q8IUX4	200316
P51843	190
P35030	5646
P07478	5645
P20839	3614
P02787	7018
