From	To
P15328	FOLR1
P14207	FOLR2
P11413	G6PD
P04818	TYMS
P00374	DHFR
Q9H2K2	TNKS2
P80370	DLK1
O43172	PRPF4
P63092	GNAS
P01215	CGA
O75376	NCOR1
Q92793	CREBBP
Q6PL18	ATAD2
P18031	PTPN1
P09874	PARP1
Q99741	CDC6
Q8NB90	SPATA5
P55072	VCP
P46459	NSF
O75351	VPS4B
Q04760	GLO1
Q9H237	PORCN
Q9Y6F1	PARP3
Q9UGN5	PARP2
Q9NR21	PARP11
O95271	TNKS
Q9H0J9	PARP12
Q8N3A8	PARP8
Q7Z3E1	TIPARP
Q53GL7	PARP10
Q2NL67	PARP6
Q99570	PIK3R4
P42356	PI4KA
O00443	PIK3C2A
P28074	PSMB5
P28062	PSMB8
P46063	RECQL
P42574	CASP3
P36537	UGT2B10
P21439	ABCB4
P19224	UGT1A6
O75604	USP2
Q9ULK4	MED23
P48426	PIP4K2A
P00813	ADA
P61073	CXCR4
P32302	CXCR5
Q92499	DDX1
P62136	PPP1CA
Q9Y6K9	IKBKG
P40189	IL6ST
P42702	LIFR
P08887	IL6R
P23415	GLRA1
Q9GZT9	EGLN1
Q9C0B1	FTO
Q00975	CACNA1B
P06400	RB1
Q9NR48	ASH1L
Q92831	KAT2B
Q09472	EP300
P21675	TAF1
O95696	BRD1
Q9Y5X4	NR2E3
Q9HC16	APOBEC3G
O60725	ICMT
Q53EL6	PDCD4
P06730	EIF4E
Q9NTG7	SIRT3
Q8IXJ6	SIRT2
Q15393	SF3B3
P36873	PPP1CC
P61160	ACTR2
Q9BY08	EBPL
P61088	UBE2N
P49721	PSMB2
P20618	PSMB1
P05067	APP
P11940	PABPC1
Q96SW2	CRBN
P40925	MDH1
O00519	FAAH
P30519	HMOX2
P41235	HNF4A
O60240	PLIN1
Q9NQH7	XPNPEP3
Q9HAU8	RNPEPL1
Q8NDH3	NPEPL1
Q6UB28	METAP1D
Q8N6M6	AOPEP
Q6Q4G3	LVRN
Q9NZ08	ERAP1
Q6P179	ERAP2
O43895	XPNPEP2
P50579	METAP2
P28838	LAP3
Q9NQW7	XPNPEP1
Q07075	ENPEP
Q9ULA0	DNPEP
Q9UIQ6	LNPEP
P53582	METAP1
Q9H4A4	RNPEP
P55786	NPEPPS
P15144	ANPEP
P22001	KCNA3
O15554	KCNN4
Q9HAW7	UGT1A7
Q92753	RORB
P48443	RXRG
P35398	RORA
P29762	CRABP1
P28702	RXRB
P13631	RARG
P10826	RARB
P10276	RARA
Q9Y4D2	DAGLA
Q99685	MGLL
P47712	PLA2G4A
P46098	HTR3A
P43681	CHRNA4
P35368	ADRA1B
P35348	ADRA1A
P34972	CNR2
P34969	HTR7
P28566	HTR1E
P28222	HTR1B
P28221	HTR1D
P21918	DRD5
P08908	HTR1A
O75762	TRPA1
P47869	GABRA2
Q16445	GABRA6
P18505	GABRB1
P18507	GABRG2
P47870	GABRB2
O00591	GABRP
P34903	GABRA3
Q8N1C3	GABRG1
P78334	GABRE
Q99928	GABRG3
P31644	GABRA5
O14764	GABRD
P48169	GABRA4
P14867	GABRA1
P28472	GABRB3
Q9UN88	GABRQ
Q9UNK4	PLA2G2D
Q9NZK7	PLA2G2E
Q9NZ20	PLA2G3
Q9BZM2	PLA2G2F
Q9BZM1	PLA2G12A
P14555	PLA2G2A
O15496	PLA2G10
O14980	XPO1
Q99835	SMO
Q15465	SHH
Q9NXA8	SIRT5
Q8IUX4	APOBEC3F
P51843	NR0B1
P35030	PRSS3
P07478	PRSS2
P20839	IMPDH1
P02787	TF
